timestamp,user,ip_address,event_type,resource,random_token,label,event_hour,day_of_week
2025-07-03 07:52:11.842529,user_1,216.205.10.74,login_failure,explore,b2a41fa01b4079c00cd8e8a28a0e9465a2b3d9ad,1,7,3
2025-07-08 12:17:10.296134,user_5,196.89.6.126,login_failure,app,75e9298d641ab53b2f4fe713889026a494b6bbac,0,12,1
2025-07-08 01:45:25.601568,user_29,33.178.195.236,login_failure,tags/categories/wp-content,6e63aca43636b2c521cb060c3e35830ef75fc30b,0,1,1
2025-07-10 03:02:20.655905,user_2,42.55.219.177,login_success,search/wp-content,c04a568e28514d462157589699fe4b6b8cecd94f,1,3,3
2025-07-05 00:56:29.277108,user_17,70.48.153.229,login_failure,tags/posts,f1a309a0fee235ec1f83bb410117c454eb7f122e,0,0,5
2025-06-30 20:04:37.056710,user_23,220.28.244.34,login_failure,posts/tags,54a99355bd3e594136e1c9ced9a8be45f6112d16,0,20,0
2025-06-30 08:12:20.401218,user_8,210.57.203.186,login_success,category,4bd54d45fb86d319b92e6b26a1b8d22af26f6f49,0,8,0
2025-07-03 19:46:45.789631,user_28,28.41.254.122,login_success,list/main/category,381a5dfeec99f55f342278aacda598617e9d3629,0,19,3
2025-07-08 18:59:45.783345,user_23,196.73.29.189,login_success,blog,2240e41a8ebfd8cb9b8938d6b148f8cbcf99cc07,1,18,1
2025-07-14 11:56:14.262425,user_7,122.40.218.103,config_change,blog/wp-content/search,9d727ab437497081cb326dd386c5de81f6aa1887,0,11,0
2025-07-11 17:31:31.357800,user_3,66.13.238.40,login_success,search/wp-content,728fd9776c9a485f29db7f26099b01f9f1a05ccc,0,17,4
2025-07-05 14:08:10.943775,user_12,223.249.179.214,login_failure,tag/search/wp-content,7e6c8d05e240c5ce378c1c3d1dfc65ab011752f8,0,14,5
2025-07-13 02:55:30.457149,user_24,189.181.186.216,login_failure,category/explore,fe58e28c0ed46a917f0ef6a86bb9c8679b470cd3,0,2,6
2025-07-12 13:42:21.370928,user_30,131.3.244.101,login_success,list,b755c8e85147642501ab70ac70f22ba7cd76fc89,0,13,5
2025-07-05 10:13:30.435930,user_27,210.8.107.66,login_failure,explore/categories/explore,2f748a8c2dd7a2357b2f97bf9abb9da1db3937ff,1,10,5
2025-07-09 21:07:28.638258,user_12,39.84.208.210,login_failure,posts/posts/category,0bb04e6352debfddc20465dec046c6c4c2a8e842,0,21,2
2025-07-14 05:35:18.976136,user_2,122.27.107.183,login_failure,blog,317aab3b5fc4acc62c9375bcd799cf8356712188,0,5,0
2025-07-01 22:43:51.692040,user_3,214.93.122.209,file_access,blog,a5f529e225ce10b30e0571dbc9100ed10f2c03ea,0,22,1
2025-07-06 23:36:24.997606,user_13,197.75.239.144,login_success,tag,57aa1523307362869e4a3b6547d25efd1b7fee3c,0,23,6
2025-07-12 19:47:32.440568,user_12,143.106.112.170,login_success,main,6099b7e2169f2ab4557e0cdb7946a55a74ae8bcf,0,19,5
2025-07-01 13:55:47.337992,user_22,8.128.199.93,login_success,explore/main,6add68ac19169e38639af3e72a32ccf52a671f16,0,13,1
2025-07-13 14:07:03.886931,user_21,214.199.13.4,login_success,blog/blog/category,63c79914e39aef789f35f9ca20412422e914a121,0,14,6
2025-07-01 11:16:13.437845,user_18,156.229.38.35,login_failure,main,bdf7ef2d9821c9454cbe0a577dccba96923ee2f5,0,11,1
